>>>FABRIC CONTROLLER START
VERSION=ST1-03282020-1500
DEVICEID=STT0001
DEVICETYPE=NANO328BT8x8
SPEED=0
THRESHOLD=10
MYLOOPS=0
FORMAT=0
FLIPPED=0
NOISELEVEL=25
MODE=3
CABLEORIENTATION=0
SROUCE=USB
UniqueID: 59 38 32 31 32 35 0F 28 0A 
SENSOR=8x8
000,000,000,000,000,000,000,387,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#49#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#28427#
VERSION=ST1-03282020-1500
DEVICEID=STT0001
DEVICETYPE=NANO328BT8x8
SPEED=17
THRESHOLD=10
MYLOOPS=1769
FORMAT=0
FLIPPED=0
NOISELEVEL=25
MODE=3
CABLEORIENTATION=0
SROUCE=USB
UniqueID: 59 38 32 31 32 35 0F 28 0A 
SENSOR=8x8
000,000,000,000,000,000,000,386,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#2011#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#2864#
000,000,000,000,000,000,394,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#1038#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#481#
000,000,000,000,000,000,387,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#1426#
