000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,021,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#22787#
000,000,000,000,000,000,000,000,000,000,011,014,000,013,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,010,000,000,000,000,000,000,000,000,000,000,000,000,020,015,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#60#
000,000,000,000,000,000,000,000,010,000,021,027,000,030,017,000,000,000,014,016,000,020,034,000,000,000,014,014,000,034,016,000,000,000,000,000,000,011,000,000,011,000,036,042,000,045,016,000,012,000,017,024,000,018,011,000,000,000,000,000,000,000,000,000,#59#
000,000,000,000,000,000,000,000,000,000,000,011,000,015,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,011,000,000,000,000,000,000,000,000,000,000,000,000,022,027,000,021,000,000,000,000,000,015,000,000,000,000,000,000,000,000,000,000,000,000,#60#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#58#
000,000,000,000,000,000,000,000,000,000,016,019,000,021,015,000,000,000,010,013,000,017,024,000,000,000,012,011,000,033,024,000,000,000,000,000,000,000,000,000,000,000,047,032,000,023,010,000,000,000,019,031,000,014,000,000,000,000,000,000,000,000,000,000,#111#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#59#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,023,014,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,018,010,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,#3043#
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,022,026,000,021,000,000,000,000,000,010,000,044,000,000,000,000,000,000,000,020,000,000,000,012,016,011,000,012,000,000,000,000,064,028,000,020,000,000,000,000,000,000,000,000,000,000,#60#
000,000,000,000,000,000,000,000,000,000,000,010,000,012,000,000,000,000,022,032,000,032,023,011,000,000,015,015,000,062,015,000,000,000,012,013,000,036,012,000,010,017,021,015,000,016,000,000,012,000,058,032,000,021,012,000,000,000,000,000,000,000,000,000,#59#
